Word	Index	Count
UNK	0	0
you	116768	1
i	95101	2
the	83876	3
to	69154	4
a	62172	5
it	41408	6
and	35580	7
of	32605	8
that	30368	9
what	29950	10
in	28845	11
me	28204	12
is	26036	13
don't	22438	14
this	21923	15
i'm	20827	16
do	20754	17
for	19987	18
know	19624	19
have	19112	20
we	18556	21
your	18495	22
no	18293	23
my	18283	24
not	17737	25
was	17088	26
on	16881	27
be	16759	28
he	16637	29
it's	16510	30
are	15191	31
but	14845	32
with	14482	33
just	14272	34
all	13247	35
like	13075	36
about	12503	37
get	12469	38
you're	12444	39
so	11699	40
if	11530	41
here	11474	42
out	11350	43
they	10383	44
up	10358	45
him	10254	46
got	10250	47
that's	9973	48
want	9932	49
can	9909	50
think	9775	51
how	9602	52
well	9447	53
at	9230	54
one	9117	55
right	9068	56
go	9017	57
there	9012	58
now	8607	59
did	8059	60
why	7967	61
going	7964	62
oh	7743	63
her	7736	64
she	7600	65
see	7316	66
yes	7283	67
yeah	6926	68
good	6801	69
as	6390	70
i'll	6306	71
tell	6199	72
u	6197	73
who	6177	74
when	6166	75
come	6102	76
he's	6048	77
can't	5997	78
from	5856	79
an	5816	80
his	5800	81
been	5767	82
time	5716	83
some	5677	84
will	5559	85
say	5526	86
were	5446	87
look	5444	88
back	5362	89
didn't	5349	90
or	5325	91
would	5228	92
where	5178	93
then	5096	94
us	5021	95
could	5019	96
take	5016	97
them	4927	98
man	4916	99
i've	4844	100
never	4750	101
had	4727	102
something	4715	103
mean	4645	104
what's	4643	105
okay	4419	106
too	4378	107
way	4251	108
we're	4224	109
sure	4161	110
really	4139	111
make	4068	112
down	3884	113
little	3863	114
more	3789	115
gonna	3741	116
any	3685	117
said	3658	118
need	3620	119
maybe	3599	120
mr	3512	121
thing	3506	122
there's	3505	123
only	3496	124
very	3488	125
over	3465	126
off	3435	127
two	3422	128
our	3403	129
by	3359	130
people	3318	131
let	3282	132
much	3173	133
sorry	3140	134
should	3125	135
has	3091	136
give	3066	137
am	3060	138
anything	3008	139
talk	2933	140
doing	2876	141
thought	2857	142
sir	2837	143
because	2790	144
nothing	2769	145
love	2766	146
she's	2713	147
they're	2663	148
call	2654	149
i'd	2633	150
even	2618	151
you've	2570	152
hey	2550	153
ever	2536	154
find	2521	155
still	2508	156
before	2486	157
told	2485	158
into	2451	159
these	2447	160
work	2441	161
better	2434	162
first	2433	163
night	2429	164
please	2405	165
let's	2352	166
help	2328	167
long	2327	168
around	2322	169
last	2321	170
things	2313	171
won't	2298	172
money	2293	173
must	2281	174
life	2281	175
believe	2270	176
always	2269	177
other	2231	178
god	2219	179
those	2217	180
does	2200	181
than	2200	182
guy	2173	183
put	2165	184
isn't	2143	185
shit	2141	186
old	2121	187
day	2115	188
uh	2078	189
after	2066	190
doesn't	2041	191
away	2030	192
years	2013	193
great	2010	194
keep	2008	195
hell	1999	196
place	1995	197
again	1992	198
you'll	1967	199
we'll	1964	200
name	1942	201
big	1939	202
feel	1916	203
home	1913	204
fuck	1896	205
new	1892	206
huh	1879	207
thank	1877	208
wait	1855	209
remember	1852	210
bad	1849	211
kind	1834	212
course	1810	213
three	1801	214
guess	1796	215
dead	1796	216
wouldn't	1759	217
listen	1739	218
kill	1735	219
everything	1734	220
talking	1726	221
wrong	1720	222
leave	1707	223
their	1706	224
fine	1703	225
ask	1701	226
lot	1700	227
nice	1694	228
ain't	1670	229
understand	1667	230
stop	1667	231
hear	1653	232
girl	1650	233
made	1640	234
happened	1632	235
might	1625	236
gotta	1601	237
wanted	1582	238
real	1580	239
mind	1578	240
enough	1574	241
else	1546	242
yourself	1524	243
every	1519	244
wasn't	1517	245
done	1516	246
thanks	1502	247
stay	1495	248
fucking	1493	249
through	1481	250
getting	1470	251
house	1459	252
someone	1438	253
another	1435	254
try	1422	255
came	1419	256
father	1411	257
care	1407	258
boy	1405	259
car	1401	260
saw	1397	261
five	1394	262
left	1393	263
trying	1364	264
own	1346	265
job	1343	266
guys	1334	267
you'd	1325	268
heard	1320	269
knew	1320	270
coming	1315	271
room	1313	272
looking	1312	273
being	1307	274
may	1304	275
mother	1297	276
haven't	1292	277
we've	1280	278
seen	1274	279
went	1272	280
friend	1260	281
tonight	1248	282
show	1241	283
same	1226	284
world	1212	285
pretty	1205	286
miss	1190	287
idea	1185	288
ya	1182	289
matter	1181	290
used	1178	291
best	1171	292
killed	1160	293
whole	1141	294
live	1134	295
business	1133	296
which	1122	297
next	1117	298
many	1117	299
morning	1112	300
hello	1110	301
called	1102	302
'em	1101	303
found	1091	304
tomorrow	1079	305
run	1065	306
says	1062	307
four	1062	308
once	1058	309
yet	1048	310
couldn't	1043	311
son	1040	312
head	1038	313
minute	1031	314
hi	1025	315
hundred	1023	316
already	1021	317
start	1017	318
without	1016	319
who's	1015	320
use	1013	321
saying	1008	322
men	1002	323
most	999	324
play	997	325
ago	995	326
while	991	327
few	989	328
baby	988	329
t	986	330
meet	986	331
wife	981	332
since	979	333
jesus	976	334
woman	975	335
myself	974	336
hard	972	337
stuff	968	338
probably	966	339
damn	957	340
problem	954	341
dad	951	342
crazy	951	343
together	950	344
alone	949	345
took	935	346
school	933	347
today	933	348
days	931	349
kid	928	350
gone	926	351
worry	922	352
forget	920	353
looks	918	354
exactly	918	355
shut	917	356
afraid	916	357
such	915	358
wants	913	359
ten	907	360
hope	904	361
aren't	902	362
point	892	363
mrs	887	364
anyway	885	365
hold	885	366
twenty	878	367
six	867	368
deal	866	369
friends	864	370
where's	861	371
until	860	372
part	857	373
case	857	374
die	854	375
thinking	851	376
read	847	377
alright	847	378
wanna	846	379
anyone	846	380
supposed	840	381
somebody	833	382
bring	831	383
half	830	384
doctor	830	385
knows	824	386
minutes	819	387
true	818	388
ass	811	389
word	807	390
makes	804	391
late	803	392
watch	801	393
ready	799	394
actually	799	395
turn	799	396
mom	789	397
story	788	398
dr	788	399
working	788	400
john	787	401
hurt	780	402
lost	779	403
open	779	404
easy	778	405
move	778	406
both	773	407
sit	771	408
year	768	409
far	759	410
drink	758	411
jack	758	412
soon	758	413
sleep	757	414
kids	755	415
beautiful	751	416
nobody	751	417
brother	750	418
happy	750	419
under	749	420
face	744	421
having	742	422
cut	742	423
happen	742	424
least	740	425
whatever	740	426
hit	739	427
pay	736	428
thousand	733	429
week	733	430
gave	731	431
married	722	432
trouble	719	433
wish	717	434
times	716	435
hate	715	436
family	713	437
town	712	438
asked	710	439
question	709	440
chance	707	441
quite	706	442
door	702	443
later	702	444
shot	695	445
young	694	446
eat	692	447
he'll	691	448
taking	691	449
phone	690	450
check	689	451
end	686	452
gets	686	453
set	685	454
mine	683	455
honey	682	456
second	681	457
everybody	680	458
they'll	678	459
fuckin'	678	460
captain	676	461
hand	675	462
funny	674	463
couple	673	464
anybody	669	465
police	667	466
different	666	467
rest	660	468
change	658	469
walk	658	470
close	657	471
trust	656	472
met	656	473
each	653	474
making	648	475
telling	647	476
suppose	640	477
yours	639	478
hours	638	479
gun	636	480
excuse	630	481
ah	630	482
important	626	483
sometimes	623	484
death	623	485
truth	619	486
bet	617	487
anymore	616	488
heart	610	489
dollars	607	490
bit	607	491
o	603	492
comes	602	493
either	598	494
sick	597	495
tried	592	496
s	590	497
break	589	498
reason	588	499
side	587	500
ok	587	501
goes	585	502
stand	583	503
person	581	504
answer	580	505
means	579	506
number	579	507
bed	579	508
'	576	509
eyes	574	510
war	574	511
inside	570	512
party	569	513
high	568	514
everyone	567	515
how's	565	516
almost	563	517
fire	560	518
buy	559	519
though	555	520
thirty	554	521
send	553	522
office	553	523
pick	551	524
sort	549	525
waiting	545	526
it'll	545	527
white	544	528
game	543	529
shouldn't	542	530
water	539	531
b	537	532
drive	533	533
died	529	534
christ	529	535
book	528	536
alive	528	537
along	528	538
serious	526	539
shoot	526	540
seems	525	541
against	525	542
stupid	524	543
m	523	544
black	523	545
dear	523	546
goddamn	522	547
eight	520	548
line	517	549
fifty	516	550
running	514	551
speak	514	552
blood	514	553
george	512	554
behind	510	555
ahead	507	556
body	505	557
women	503	558
fact	503	559
dinner	503	560
hands	502	561
hour	502	562
million	501	563
th	498	564
power	497	565
boys	496	566
perhaps	495	567
d	494	568
full	493	569
daddy	492	570
